country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2017,25.26655591778558,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2018,24.09322297898253,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2019,24.04951207124289,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2020,24.00679054938023,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2021,23.96492685234793,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2022,23.92398525449063,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2000,40.13846153846197,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2001,36.68891543239397,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2002,33.23936932632594,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2003,29.78982322025792,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2004,26.3402771141908,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2005,22.8907310081228,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2006,19.44118490205477,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2007,15.99163879598674,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2008,12.54209268991872,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2009,9.092546583851629,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2010,5.643000477783602,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2011,2.193454371715575,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2012,0,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2013,0,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2014,0,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2015,0,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2016,0,Total,,%,,,,Total
Anguilla,AI,AIA,660,Proportion of population using non-piped improved drinking water sources,2017,0,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2009,.4480691841623431,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2010,.4483281876311026,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2011,.4485670716163867,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2012,.4486461192541427,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2013,.4487247206113493,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2014,.4488028489302862,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2015,.4488810033228001,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2016,.4489497771424594,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2017,.449009168608527,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2018,.4490600754331804,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2019,.4491016002385581,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2020,.4491342113432466,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2021,.4491578712781155,Total,,%,,,,Total
Antigua and Barbuda,AG,ATG,28,Proportion of population using non-piped improved drinking water sources,2022,.4491730567240697,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2000,6.981985934801858,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2001,6.628917684497266,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2002,6.281278785922469,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2003,5.938678771597978,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2004,5.600415917331755,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2005,5.266587622917516,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2006,4.93693772480016,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2007,4.611542245314589,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2008,4.290166826215336,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2009,3.972864727093727,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2010,3.659533765950975,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2011,3.351443122527371,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2012,3.047409557386763,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2013,2.862273213135424,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2014,2.676648595508497,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2015,2.490720656424252,Total,,%,,,,Total
Argentina,AR,ARG,32,Proportion of population using non-piped improved drinking water sources,2016,2.304500211954066,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2000,8.562571517714552,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2001,8.207885646913047,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2002,7.827000831910821,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2003,7.435903370609429,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2004,7.043185546167378,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2005,6.648987605186996,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2006,6.253021089338337,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2007,5.855557285286095,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2008,5.456343536889669,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2009,5.055614928766146,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2010,4.653249790788748,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2011,4.249248507010655,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2012,3.843610694769224,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2013,3.434568693590529,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2014,3.022712019218601,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2015,2.556523680341926,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2016,1.997187055657092,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2017,1.437083054718703,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2018,1.252119307121077,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2019,.7007423891148794,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2020,.1983973254461232,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2021,0,Total,,%,,,,Total
Armenia,AM,ARM,51,Proportion of population using non-piped improved drinking water sources,2022,0,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2000,3.389406355508072,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2001,3.446651107631226,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2002,3.503895859754266,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2003,3.561140611877477,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2004,3.61838536400063,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2005,3.675630116123784,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2006,3.732874868246938,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2007,3.790119620370149,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2008,3.847364372493189,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2009,3.904609124616343,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2010,3.961853876739553,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2011,4.019098628862707,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2012,4.076343380985861,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2013,4.076343380985861,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2014,4.076343380985861,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2015,4.076343380985861,Total,,%,,,,Total
Aruba,AW,ABW,533,Proportion of population using non-piped improved drinking water sources,2016,4.076343380985861,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2000,6.612399814589912,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2001,6.640668847064285,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2002,6.615122015538769,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2003,6.304407899756748,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2004,5.995485536103976,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2005,5.688336871353324,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2006,5.382941568456993,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2007,5.078398237026074,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2008,4.775633775155205,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2009,4.474630519350331,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2010,4.173889404777961,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2011,3.864389013121855,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2012,3.558904777827031,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2013,3.255201522055539,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2014,2.996029713751929,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2015,2.695079453794115,Total,,%,,,,Total
Australia,AU,AUS,36,Proportion of population using non-piped improved drinking water sources,2016,2.682958260127108,Total,,%,,,,Total
